build_year,country,make,model,avg_amount_damage
1999,LPNL,opel,zafira,0.0
2011,LPTR,jetta16tdiexclusivetip,jetta16tdiexclusivetip,0.0
2014,LPLU,tesla,models,0.0
2006,LPFR,mercedes,clkclass,0.0
2004,LPPL,skoda,fabia,1831.184736842105
2003,LPDE,ambiente,1u,0.0
2001,LPES,opel,astracaravan,379.5927272727273
2017,LPPT,nissan,qashqai,195.94043624161083
2001,LPAT,volvo,v70,0.0
2002,LPES,renault,mastercombi9,1062.9533333333331
2000,LPNL,container,wisselcontainer,0.0
2002,LPES,volkswagen,boratrendline,363.08000000000004
2004,LPAT,volkswagen,polo19sdi,34.625373134328356
2001,LPES,opel,zafira,264.95714285714286
2003,LPPT,renault,kangoo,25.483978494623653
2004,LPAT,peugeot,607luxe30v6,0.0
2003,LPES,citroen,xsarapicasso,519.4298148148148
2011,LPNL,audi,a4,978.6397312588399
2005,LPAT,audi,cooper,0.0
2001,LPPT,opel,movanol1h1,0.0
1998,LPNL,yamaha,yp,0.0
2004,LPAT,volvo,v7024d,0.0
2004,LPHU,linde,e25,0.0
2006,LPNL,bmw,530,635.5858064516129
2000,LPES,mercedes,c200k,1051.05
2000,LPES,peugeot,406breakst,1278.98
2004,LPAT,bmw,530ia,0.0
2010,LPPT,audi,a5,514.1265734265733
2012,LPNL,kia,sportage,1109.7766990291261
2006,LPNL,toyota,corolla,587.6176411960134
2000,LPES,ford,transitvc,0.0
2003,LPFI,peugeot,307,0.0
2004,LPES,volkswagen,tourantrendlin,195.01500000000001
2011,LPNL,iveco,daily,673.4629411764706
2006,LPAT,renault,traficdkkal2,2189.8175
2002,LPFI,ford,mondeo,0.0
2006,LPES,peugeot,partner,586.1003975903614
2005,LPAT,renault,traficdkkal1,822.6225
2011,LPPT,mercedes,cclass,410.942599206349
2006,LPAT,audi,a6allrqua30,0.0
2010,LPNL,skoda,fabia,1062.3175396825395
2004,LPFI,ford,maverick,0.0
1999,LPPT,opel,astra5p,0.0
2007,LPAT,volkswagen,golfcomfortli,483.9525
2002,LPAT,peugeot,partnerprofi,0.0
2005,LPPT,volvo,v70,17.25
2007,LPFI,subaru,legacy,0.0
2005,LPFI,peugeot,307,8.716521739130433
2007,LPES,nissan,pickup,1128.7675555555556
2011,LPNL,audi,mini,864.2755999999999
2002,LPPT,citroen,jumper31,0.0
2005,LPES,mercedes,slkclass,115.66
2012,LPPT,volkswagen,touareg7p5,355.6583333333333
2004,LPNL,alfaromeo,gt,472.3259090909091
2000,LPAT,volkswagen,lt35kasten,0.0
2006,LPAT,renault,scenicsky,0.0
2005,LPCZ,toyota,avensis,11888.817500000001
2007,LPAT,audi,s542v8,0.0
2013,LPIN,tata,tataaria,0.0
2012,LPFI,citroen,c4,304.61391304347836
2013,LPIN,hyundai,hyundaieon,0.0
2011,LPBR,generalmotors,agile,0.0
2015,LPBR,renault,duster,0.0
2009,LPFI,nissan,qashqai,181.87599999999998
2014,LPPT,toyota,prius,368.5733333333333
2018,LPNL,hyundai,ioniq,0.0
2012,LPBR,hyundai,santafe,0.0
2006,LPLU,volkswagen,passat,273.788984375
2001,LPNL,citroen,xsara,628.768
2014,LPBR,peugeot,3008,0.0
2008,LPLU,volkswagen,touran,78.49428571428572
2008,LPFI,peugeot,607,46.8
2009,LPFI,renault,clio,0.0
2004,LPSE,slpvagn,schmitzslpmedskp2004,0.0
2009,LPFI,citroen,c4grandpicasso,390.52
2014,LPIN,audi,audia3dsl,0.0
2003,LPLU,volkswagen,lt46a,0.0
2000,LPNL,fiat,ducato,1969.6333333333332
2002,LPNL,diverse,diverse,0.0
2005,LPES,peugeot,307xtbreak,380.64363636363635
2013,LPNL,peugeot,vivacity,0.0
2003,LPPT,renault,meganeii,20.090169491525423
2004,LPBE,opel,zafira,201.38160377358489
2013,LPMX,toyota,sienna,0.0
2016,LPNL,audi,mini,450.8288888888889
2015,LPUK,mitsubishi,l200,203.07296052631582
2014,LPFI,opel,insignia,181.67212121212128
2014,LPES,opel,insignia,1518.4160249999989
2016,LPPL,volkswagen,eup,0.0
2013,LPTR,volkswagen,polo,552.3341326530613
2005,LPCH,peugeot,407swsrsele,588.3295454545455
2012,LPAT,volvo,xc60,458.2782352941177
2007,LPAE,nissan,tiidase,0.0
2001,LPBE,bmw,7serie,0.0
2005,LPBE,rover,75saloon,0.0
2014,LPAT,ford,fiesta125,0.0
1997,LPDE,anhnger,klaglemasburg,0.0
2007,LPBR,hondamoto,cg,0.0
2007,LPES,citroen,c1,350.8
2009,LPCZ,vozky,jungheinrich,0.0
2004,LPBE,seat,toledo,19.223333333333333
2008,LPPT,peugeot,308,482.64010204081643
2008,LPDE,volkswagen,tiguan,1271.5945535714284
2000,LPDE,bmw,735i,0.0
2002,LPPT,daewoo,lanos,0.0
2010,LPRO,volkswagen,golf,314.07355151515156
2014,LPFI,subaru,outback,383.93666666666667
1997,LPHU,fiat,grandepunto,0.0
2011,LPLU,audi,minicabrio,0.0
2009,LPHU,skoda,octavia,114935.1634920635
2004,LPLU,ford,mondeo,233.77
2004,LPHU,citroen,xsara,98710.066
2014,LPNL,citroen,ds3,991.7234374999999
2000,LPDE,jaguar,styper,0.0
2003,LPCH,audi,a8lwb4x4,0.0
2007,LPFI,mercedes,viano,110.62
2007,LPES,porsche,cayenne,317.7
2008,LPBE,volkswagen,tiguan,762.7235211267603
2016,LPNL,ford,focus,221.50549999999998
2007,LPCH,volkswagen,passathighline,1423.8382857142858
2013,LPLU,audi,rs5,0.0
2009,LPHU,renault,clio,82930.47833333333
2015,LPMX,honda,civic,0.0
2018,LPPT,nissan,micra,0.0
2014,LPRO,toyota,auris,1117.3683999999998
2006,LPDK,volkswagen,passattrendii,6610.853076923077
2013,LPPL,volkswagen,sharan,1886.132727272727
2015,LPMX,chevrolet,cruze,0.0
2010,LPPL,opel,vivarovc,1474.1449999999998
2012,LPIT,opel,astra,1481.3248478701823
2011,LPCH,bmw,x3,1422.4351020408162
2005,LPDK,volvo,v50,1622.9566666666667
2006,LPGR,audi,coopers,96.0
2007,LPBE,volkswagen,transporter,1314.420597014925
2017,LPES,bmw,2serie,0.0
2008,LPDE,bmw,525dauteditionfleetp,1211.0638888888889
2013,LPGR,audi,paceman,0.0
2009,LPIT,iveco,dailyvc,2533.106396396397
2013,LPFR,audi,a5,1039.3401775147934
2013,LPPT,mercedes,sprintervc,222.00857142857143
2009,LPPT,ford,galaxy,575.0561111111111
2010,LPNO,mercedes,818lategolast,0.0
